id,user_id,class,name,tag_based,date
111,22,3,Critic,False,2010-07-19 19:59:07.170
113,22,3,Teacher,False,2010-07-19 20:04:06.817
143,22,3,Supporter,False,2010-07-19 20:34:06.900
389,115,3,Supporter,False,2010-07-20 18:12:22.730
413,192,3,Editor,False,2010-07-21 00:37:32.570
435,211,3,Autobiographer,False,2010-07-21 07:58:12.557
436,211,3,Supporter,False,2010-07-21 08:03:12.543
438,192,3,Teacher,False,2010-07-21 08:13:12.473
440,211,3,Teacher,False,2010-07-21 08:48:12.267
449,115,3,Teacher,False,2010-07-21 11:13:12.353
568,22,3,Student,False,2010-07-25 20:23:37.090
684,22,2,Beta,False,2010-07-27 09:13:44.700
725,192,2,Beta,False,2010-07-27 09:13:47.463
729,211,2,Beta,False,2010-07-27 09:13:47.570
938,22,3,Editor,False,2010-07-30 03:49:24.420
948,22,3,Autobiographer,False,2010-07-30 19:24:32.767
1008,211,3,Commentator,False,2010-08-02 20:30:11.367
1019,211,3,Student,False,2010-08-03 04:45:13.027
1110,211,3,Scholar,False,2010-08-05 01:45:54.253
1159,211,3,Editor,False,2010-08-06 11:06:45.187
1559,22,3,Scholar,False,2010-08-24 22:55:59.053
1808,211,3,Critic,False,2010-09-08 14:17:31.993
1809,211,3,Citizen Patrol,False,2010-09-08 14:17:32.043
1828,211,2,Enthusiast,False,2010-09-09 07:18:04.387
1833,22,3,Commentator,False,2010-09-09 16:08:23.317
1972,947,3,Teacher,False,2010-09-16 23:58:35.770
1983,192,3,Student,False,2010-09-17 16:14:06.540
2014,947,3,Supporter,False,2010-09-19 00:34:59.823
2027,947,3,Editor,False,2010-09-20 03:59:15.810
2043,211,2,Civic Duty,False,2010-09-20 21:29:59.453
2045,947,3,Student,False,2010-09-20 22:59:59.343
2059,947,3,Autobiographer,False,2010-09-21 22:35:43.863
2067,192,3,Scholar,False,2010-09-22 14:52:05.713
2104,947,3,Commentator,False,2010-09-25 16:10:55.853
2112,947,3,Scholar,False,2010-09-26 04:26:50.937
2137,947,3,Critic,False,2010-09-28 03:59:29.410
2206,947,3,Cleanup,False,2010-10-01 19:20:24.043
2521,211,3,Nice Question,False,2010-10-21 13:15:07.183
2583,211,3,Nice Question,False,2010-10-25 13:40:17.543
2686,947,3,Nice Question,False,2010-11-01 06:10:44.940
2698,211,3,Nice Answer,False,2010-11-01 15:50:47.553
2699,211,2,Enlightened,False,2010-11-01 15:55:47.667
2782,211,2,Necromancer,False,2010-11-04 21:27:33.413
2866,192,3,Supporter,False,2010-11-07 16:47:53.543
2867,192,3,Critic,False,2010-11-07 16:47:53.573
2916,211,3,Nice Question,False,2010-11-09 22:38:46.653
2923,192,3,Nice Question,False,2010-11-10 09:23:46.957
3022,211,3,Nice Answer,False,2010-11-15 20:39:32.140
